drugID,adrID,p11,p10,p01,p00,Leverage,PR,AddedValue,phi,relative risk,odds ratio,scale,additional_probability
d1464,a2696,7.043812348763244E-8,6.045841736680865E-6,1.7716564150702915E-6,0.9999921120637248,7.042685672190574E-8,6251.849483357652,0.011514655694640753,0.020981686883428986,6500.372901366941,6576.094968029901,0.011514676905764196,0.011514746522227545
d1005,a797,3.4896788329315596E-7,1.925807566278743E-6,4.031370634507799E-6,0.9999936938539159,3.4895791900663485E-7,35021.86358791695,0.15340323770080558,0.11054812983828405,38053.37761760275,44948.696705556045,0.15340390966185982,0.1534042050901328
d1290,a614,1.5354417951899234E-4,0.0038106151679349752,2.094392795817584E-6,0.9960337462597502,1.529272034177262E-4,248.86568410655215,0.03857746120017745,0.19509533809205298,18420.40121127949,19162.588947793873,0.03858346627578357,0.03873107848508281
d1324,a1988,4.2242827674658595E-7,2.9305250112169848E-6,4.3762885855237423E-4,0.9995590181881597,4.209595112441156E-7,287.6077059517584,0.12554887440731005,0.010986515311230783,287.8843586380735,329.23806310439505,0.1256038953553012,0.12560426360304858
d1800,a651,1.401054703094452E-7,1.2580457011542912E-6,3.353086787187006E-4,0.9996632931701098,1.3963646219886526E-7,298.7271800826605,0.0998722205787509,0.006448843210695646,298.85158248926916,332.02258415382124,0.0999057338356996,0.09990585956401216
d109,a3755,2.2254165808234498E-6,1.9169556016323752E-4,5.331033388817832E-6,0.9998007479898672,2.2239512266646194E-6,1518.6885487120778,0.011468337587840301,0.058102887032095464,2152.240998020354,2177.215010888805,0.011468424248414367,0.01147062313255694
d786,a1950,1.2423054707323477E-6,2.711911023647321E-5,2.4007582857504494E-4,0.9997315627557178,1.2354613468149882E-6,181.51416978020555,0.04356134262018184,0.014935810573304864,182.4482652366024,190.76026996657913,0.043571857299482264,0.04357303924676225
d496,a452,8.889031682874427E-8,1.2652838233585413E-6,6.627993537130557E-6,0.9999920178323227,8.888122099832659E-8,9772.64446971553,0.06563500096526292,0.029470709213031424,9903.695377955688,10599.392037752143,0.0656354418309024,0.06563552487902811
d1433,a3103,3.3671151865252443E-8,2.220206953393466E-6,2.692072756251202E-6,0.9999950540491385,3.36650083707374E-8,5480.781627262555,0.014936481388319382,0.013582260967167878,5549.320101540983,5633.464657727727,0.01493652210145351,0.014936555263787754
d1004,a146,2.314946465008688E-6,7.857042643584715E-6,0.025175634018363157,0.9748141939925282,2.0588366423617354E-6,9.038881996337333,0.20240256063805737,0.00412048471894508,9.039621186518067,11.40836137159713,0.20763026485000452,0.2076319383585101
d1603,a1639,6.152516482656778E-7,3.737149008141894E-5,9.571198241961584E-6,0.9999524420600283,6.148646982245554E-7,1590.0027985033921,0.01618629738238569,0.0312580996595113,1692.1463928750852,1719.9879534713614,0.016186462264972452,0.016187067205956193
d172,a1885,9.279266641376509E-7,6.405678935032862E-5,3.939980720609909E-6,0.999931075303265,9.276103245586683E-7,2933.324584682642,0.014274284500253455,0.052155963945345336,3623.932575681182,3676.414377742187,0.01427435398648664,0.014275268418800035
d286,a808,2.3041676815232857E-8,1.5118647778153212E-6,6.14966711742234E-5,0.9999369684223711,2.294724981089078E-8,244.01575561754103,0.014950259503869304,0.0023615450240459857,244.10680917206736,247.81189484554912,0.014951179296126388,0.014951201901712617
d1772,a510,1.621678246774044E-7,4.5029690742938825E-6,0.003121653165690176,0.9968736816974109,1.476041287732499E-7,11.135073524238019,0.031639827934266666,0.0012250185683207926,11.13560003462823,11.500618799424794,0.03173891095314927,0.031739054320696326
d1594,a2756,2.1322463245691E-5,3.2228970538322553E-4,8.120089913017866E-4,0.9988443788400694,2.1036120417407253E-5,74.46480630749987,0.06122053389827757,0.039334909143713986,76.39391134097023,81.38192019345651,0.061271593444365,0.06129136349485322
d1876,a570,2.9321895660337884E-7,2.132592042888688E-6,1.926696025712247E-6,0.9999956474929749,2.932135715091968E-7,54450.107405992145,0.12087238930427469,0.12635383420491042,62736.578259986,71362.35404333065,0.12087265763129831,0.12087291540448812
d924,a2323,8.560383832979342E-7,4.7057685005782796E-5,2.2577836160905563E-4,0.9997263079150018,8.451794853462503E-7,78.83289695757632,0.017639611901646993,0.008111771235321405,79.1280002916785,80.54924672680956,0.017643610550737855,0.01764444104550536
d473,a2223,3.95851228073544E-8,1.962032752643466E-6,1.6005935824292276E-6,0.9999963977885421,3.9581839796339066E-8,12057.566247096858,0.0197749232167624,0.021845429994243045,12355.743536301026,12605.007489453144,0.019774955651223558,0.019774994450473992
d1703,a2787,2.923284916098982E-7,1.4931047589956752E-6,1.724491703966738E-6,0.9999964900750454,2.923248907120605E-7,81182.11201421288,0.16372770620963362,0.15404982937335543,94943.58849318977,113531.9852661143,0.16372803641964406,0.1637282808836125
